1,05
-3,88
-0,68
0,77
-1,22
-2,51
-1,76
-2,40
-1,43
-3,46
2,36
0,35
-2,29
1,54
-1,14
0,06
5,53
2,28
-0,71
-2,32
-0,68
-2,02
-3,74
-2,80
-1,86
-0,75
0,60
2,36
-0,59
0,39
-5,64
-2,07
0,81
-1,90
-2,70
-3,60
-2,88
-1,75
-2,10
1,67
-2,46
-2,64
0,03
-1,97
-0,91
2,49
-3,84
-1,59
1,11
0,21
3,52
-1,53
0,76
-2,35
-0,80
0,11
1,28
-0,88
0,06
-1,03
0,92
-1,81
-0,12
-0,61
-2,31
-0,32
-1,57
-0,31
-4,60
-1,68
-0,84
0
-2,21
-2,23
-1,76
-0,81
0,70
-6,43
-1,35
-1,45
-2,16
-2,12
-0,37
-3,68
1,38
0,12
-4,05
-0,06
-0,62
-4,07
0,91
0,71
-1,87
-3,59
-4,98
1,07
0,27
-3,36
-0,60
0,15
-1,68
-2,50
-3,56
1,30
0,93
0,42
-4,07
-3,75
-1,47
0,55
-1,51
