-2,58
2,36
2,74
-2,02
-0,83
0,66
-1,02
0,49
-1,34
-0,28
0,11
1,03
-2,04
-1,56
-2,17
-5,62
-1,34
-0,30
0,45
2,44
1,15
-0,22
0,20
1,17
2,86
-1,23
-1,22
2,01
1,65
3,85
2,03
1,23
1,24
2,82
0,03
-3,43
-0,11
-0,15
0,31
0,61
0,83
0,07
-0,78
1,20
3,22
-2,84
-0,34
-0,08
0,53
-0,21
-2,85
0,14
-2,50
-0,78
-0,39
0,11
-2,30
-2,25
2,47
-1,41
-0,39
-2,30
1,35
-2,10
0,83
0,53
-4,25
2,12
-1,66
0,31
-5,01
0,79
-2,97
3,05
0,07
0,04
-2,88
1,38
-0,72
-0,95
0,00
1,08
0,54
-1,23
-4,16
-2,98
2,22
-0,66
2,37
-1,34
-0,06
-2,73
4,02
1,30
1,28
1,06
1,19
0,00
0,88
0,56
-1,12
0,98
-2,78
0,68
-1,55
-0,43
0,57
3,16
0,39
-4,80
0,23
