-0,88
-1,61
0,83
-2,80
1,87
0,33
3,01
1,98
2,01
2,56
4,26
-0,41
-0,03
-1,41
0,29
1,02
1,14
0,64
3,04
3,38
-0,67
-0,15
-2,05
1,70
-0,67
1,57
6,89
-0,11
2,88
0,39
0,26
2,07
0,59
-1,69
-3,10
-0,87
3,09
1,72
-0,01
-2,63
2,30
0,33
1,96
-0,67
-1,03
1,07
1,02
3,04
-0,63
-2,92
-1,10
0,80
0
-1,43
2,35
-0,21
0,82
0,03
1,06
2,72
5,09
6,07
-0,47
-0,39
3,46
0,16
-0,45
0,43
1,85
5,55
-1,17
0,76
-1,46
0,99
2,29
3,13
4,22
-3,65
1,39
0,32
2,54
3,60
1,72
-1,53
-1,50
3,51
1,41
-1,25
5,28
-0,24
-4,18
1,22
1,89
-1,29
-0,15
1,09
-0,74
2,73
1,18
0,03
4,58
-0,07
-0,36
-1,81
-0,45
0,76
0,16
-4,35
1,77
-0,19
1,77
