-1,97
-4,94
2,85
-3,97
3,41
1,57
0,58
0,42
1,48
1,05
-2,32
-0,18
-2,20
-0,08
1,93
2,14
-6,21
-2,13
4,23
1,53
-0,80
-3,15
2,85
1,49
1,92
0,05
4,44
-0,90
5,78
-2,83
-1,92
0,05
4,65
2,26
1,55
-1,94
-0,79
-2,59
-0,70
-4,53
0,92
1,47
0,02
0,70
0,07
-7,01
2,84
4,08
-1,89
2,45
-4,57
3,93
1,02
-2,58
3,79
-0,20
0,58
4,88
-6,60
-0,20
1,43
-0,27
-6,30
0,49
1,51
0,48
3,28
-3,58
3,14
-0,66
-0,38
1,70
2,06
3,41
2,04
3,60
-1,08
1,37
4,38
3,51
2,37
-0,86
-1,77
7,17
0,00
-0,19
0,95
1,27
1,14
1,02
-4,04
1,79
-1,02
2,06
4,35
-5,97
-0,45
2,47
-9,92
-3,49
3,94
0,19
-1,45
-1,22
-3,09
-0,32
5,72
5,11
-0,46
-2,38
0,76
