5,04
1,71
0
-7,3
-2,51
4,05
-2,59
-1,8
-1,64
1,41
-1,8
-1,57
4,77
-0,83
-0,31
-1,23
0,32
-5,5
-0,85
2,37
3,4
7,31
2,7
2,52
1,43
2,89
0,34
-0,83
0,94
-0,17
-2,32
0
0,07
1,38
2,13
7,48
-2,88
1,35
1,89
-3,4
0,69
1,42
1,19
2,52
2,94
-0,08
-1,2
-0,59
-2,35
0,57
-4,71
-0,72
-2,98
2,43
-1,96
0,97
-1,54
-3,44
6,59
-0,16
-1,87
0,9
4,47
-1,61
-0,7
-0,15
-1,91
-1,65
-0,76
-1,4
0,36
-0,88
1,73
2,15
-1,59
0,16
-1,94
2,5
-0,01
-2,02
-2,26
0,58
-0,83
1,23
-4,21
-2,48
-1,3
-0,09
-0,33
-2,56
-0,31
1,15
1,78
-2,53
1,21
0,68
1,92
-0,02
5,37
-0,75
0,04
1,34
1,26
-1,2
2,3
-3,97
-1,25
5,44
1,89
-1,07
-1,83
