0,00
5,22
2,83
2,81
2,76
2,47
2,46
2,46
2,42
2,40
2,22
2,19
2,06
1,95
1,94
1,89
1,81
1,81
1,78
1,65
1,58
1,50
1,43
1,42
1,40
1,39
1,37
1,37
1,34
1,31
1,30
1,13
1,12
1,10
1,08
1,04
1,04
0,97
0,78
0,73
0,66
0,60
0,56
0,54
0,44
0,44
0,39
0,37
0,26
0,19
0,17
0,15
0,15
0,12
0,08
-0,05
-0,13
-0,22
-0,26
-0,26
-0,30
-0,33
-0,44
-0,65
-0,66
-0,68
-0,80
-0,81
-0,85
-0,89
-0,94
-0,95
-0,97
-1,08
-1,09
-1,09
-1,11
-1,12
-1,18
-1,18
-1,26
-1,32
-1,54
-1,66
-1,77
-1,92
-2,20
-2,23
-2,25
-2,25
-2,29
-2,30
-2,38
-2,39
-2,44
-2,46
-2,61
-2,62
-2,75
-2,78
-2,95
-3,22
-3,33
-3,36
-3,39
-3,51
-3,55
-3,57
-3,73
-4,33
-6,36
