3,66
-0,16
-1,83
-0,74
1,24
2,28
1,59
-0,81
2,79
0,74
-1,01
-0,05
-2,77
-3,57
3,85
3,89
0,72
-2,71
2,93
0,71
3,05
3,37
1,09
1,53
3,95
2,10
-2,51
3,68
0,48
2,85
-2,19
-1,99
2,99
0,50
-0,09
1,82
-1,12
1,44
-1,84
-1,62
1,12
-0,18
-0,66
-0,45
-2,41
0,61
-0,25
2,00
3,82
2,08
-0,52
-0,17
-2,21
4,62
0,31
1,76
1,08
-4,12
4,12
1,15
1,52
3,15
4,13
-1,26
1,15
0,22
1,12
-0,88
1,28
0,96
0,12
0,26
1,07
1,28
-0,95
-0,44
3,38
0,99
1,54
0,02
1,01
2,33
-1,44
-1,40
3,54
1,45
-0,15
-0,66
-0,78
2,46
2,34
1,38
-1,43
-0,10
2,37
2,34
1,08
1,47
1,23
-1,10
0,36
3,18
2,37
1,76
0,00
-3,07
1,08
4,23
2,34
3,67
2,14
